pl,romanji,part,hiragana,katakana,kanji,group,pl_info
auto,kuruma,rzeczownik,くるま,,車,,
babcia,sobo,rzeczownik,そぼ,,祖母,,
bank,ginkoo,rzeczownik,ぎんこお,,銀行,,
bawić się,asobu,czasownik,あそぶ,,遊ぶ,1,
biblioteka,toshokan,rzeczownik,としょかん,,図書館,,
bielizna,shitagi,rzeczownik,したぎ,,下着,,
brazylia,burajiru,rzeczownik,,ブラジル,,,
bronić,mamoru,czasownik,まもる,,守る,2,
budzić się,okiru,czasownik,おきる,,起きる,2,
buty,kutsu,rzeczownik,くつ,,靴,,
chiny,chuugoku,rzeczownik,ちゅうごく,,中国,,
chować,kakusu,czasownik,かくす,,隠す,1,
ciało,karada,rzeczownik,からだ,,体,,
ciąć,kiru,czasownik,きる,,切る,1,
ciocia,oba,rzeczownik,おば,,叔母,,
co miesiąc,maigetsu,przysłówek,まいげつ,,毎月,,
co miesiąc,maitsuki,przysłówek,まいつき,,毎月,,
co tydzień,maishuu,przysłówek,まいしゅう,,毎週,,
codziennie,mainichi,przysłówek,まいにち,,毎日,,
córka,musume,rzeczownik,むすめ,,娘,,
cukierek,ame,rzeczownik,あめ,,飴,,
czekać,matsu,czasownik,まつ,,,1,
czwarta,yoji,przysłówek,よじ,,,,
czwartek,mokuyoubi,rzeczownik,もくようび,,木曜日,,
czytać,yomu,czasownik,よむ,,,1,
danie,sara,rzeczownik,さら,,,,
data,hidzuke,rzeczownik,ひづけ,,日付,,
dawać,ageru,czasownik,あげる,,,2,
deszcz,ame,rzeczownik,あめ,,雨,,
długopis,boorupen,rzeczownik,,ボオルペン,,,
długopis,pen,rzeczownik,,ペン,,,
dom,ie,rzeczownik,いえ,,,,
druga,niji,przysłówek,にじ,,,,
dusza,tamashi,rzeczownik,たまし,,,,
dwunasta,juuniji,przysłówek,じゅうにじ,,,,
dziadek,sofu,rzeczownik,そふ,,,,
dzień,nichi,rzeczownik,にち,,日,,
dziesiąta,juuji,przysłówek,じゅうじ,,,,
dziewiąta,kuji,przysłówek,くじ,,,,
dzisiaj,kyou,przysłówek,きょう,,今日,,
