pl,romanji,part,hiragana,katakana,kanji,group,pl_info
auto,kuruma,rzeczownik,,,,,
babcia,sobo,rzeczownik,,,,,
bank,ginkoo,rzeczownik,,,,,
bawić się,asobu,czasownik,,,,,
biblioteka,toshokan,rzeczownik,,,,,
bielizna,shitagi,rzeczownik,,,,,
brazylia,burajiru,rzeczownik,,,,,
bronić,mamoru,czasownik,,,,,
budzić się ,okiru,czasownik,,,,,
buty,kutsu,rzeczownik,,,,,
chiny,chuugoku,rzeczownik,,,,,
chować,kakusu,czasownik,,,,,
ciało,karada ,rzeczownik,,,,,
ciąć ,kiru,czasownik,,,,,
ciocia,oba,rzeczownik,,,,,
córka,musume,rzeczownik,,,,,
cukierek,ame,rzeczownik,,,,,
czekać,matsu ,czasownik,,,,,
czytać ,yomu,czasownik,,,,,
danie,sara,rzeczownik,,,,,
dawać ,ageru,czasownik,,,,,
deszcz,ame ,rzeczownik,,,,,
długopis,boorupen,rzeczownik,,,,,
długopis,pen,rzeczownik,,,,,
dom,ie,rzeczownik,,,,,
dusza,tamashi,rzeczownik,,,,,
dziadek,sofu,rzeczownik,,,,,
film,eiga,rzeczownik,,,,,
francja,furansu,rzeczownik,,,,,
gazeta,shinbun,rzeczownik,,,,,
gwałt,goukan,rzeczownik,,,,,
ile lat?,nan sai,zaimek,,,,,
iść ,iku,czasownik,,,,,
japonia,nihon,rzeczownik,,,,,
jedzenie,tabemono,rzeczownik,,,,,
jeść ,taberu,czasownik,,,,,
kapelusz,booshi,rzeczownik,,,,,
kogo?,dare no,zaimek,,,,,
kolacja,bangohan,rzeczownik,,,,,
komputer,konpyuutaa,rzeczownik,,,,,
korea płd.,kankoku,rzeczownik,,,,,
kotlet wieprzowy,tonkatsu,rzeczownik,,,,,
książka,hon,rzeczownik,,,,,
kto?,dare,zaimek,,,,,
która godzina?,nan ji,zaimek,,,,,
kuchnia,ryouri,rzeczownik,,,,,
kupować,kau,czasownik,,,,,
laptop,nootopasokon,rzeczownik,,,,,
lekarz,isha,rzeczownik,,,,,
licealista,koukousei,rzeczownik,,,,,
list,tegami ,rzeczownik,,,,,
mama,haha,rzeczownik,,,,,
mąż,otto,rzeczownik,,,,,
menu,menyuu,rzeczownik,,,,,
mieć wolne,yasumu ,czasownik,,,,,
mięso,niku,rzeczownik,,,,,
